timestamp,queue_size,batch_current_size,request_rate
2024-11-24 18:56:42.845000,0.0,1.0,0.5
2024-11-24 18:56:47.852000,0.0,13.0,3.75
2024-11-24 18:56:52.858000,1.0,14.0,4.5
2024-11-24 18:56:57.864000,0.0,15.0,4.25
2024-11-24 18:57:02.871000,5.0,16.0,5.0
2024-11-24 18:57:07.877000,8.0,16.0,5.0
2024-11-24 18:57:12.883000,9.0,16.0,3.75
2024-11-24 18:57:17.889000,13.0,16.0,5.0
2024-11-24 18:57:22.896000,18.0,16.0,6.25
2024-11-24 18:57:27.903000,28.0,16.0,6.0
2024-11-24 18:57:32.909000,25.0,16.0,3.75
2024-11-24 18:57:37.915000,7.0,16.0,0.0
